exp,dataset,type,metric,n,OOB_mean,SB_mean,mean_diff,sd_diff,cohens_dz,wilcox_p,t_p,sign_p,n_pos,n_neg,sd_OOB,sd_SB,sd_ratio,PM_p_two,sig_mean,sig_var
exp1,vehicle,real,E1_B,100,0.003220801356418,0.0032516275368843,3.0826180466290016e-05,0.000242251536463,0.1272486478986579,0.2328307124787141,0.2061808398620422,0.6172994135892524,53,47,0.00020264354237,0.000159327681386,0.7862460334170471,0.017306489152234,,*
exp1,vehicle,real,E2_B,100,0.0038298130450015,0.0038608723257151,3.105928071355505e-05,0.0003053451595293,0.1017185953149807,0.3356825574357155,0.3115444045151784,0.4841184136072914,54,46,0.0002511139624082,0.0001971181019754,0.784974678767502,0.016938765961681,,*
exp2,Boston,real,EB1,100,5.7001902645183895,5.699773669052033,-0.0004165954663562,0.0130683567523251,-0.0318781828696383,0.6925422804041386,0.7505635478241096,0.1933479044956424,43,57,0.0917857583801108,0.089130209483062,0.9710679636588996,0.0420621291032727,,*
exp2,Boston,real,EB2,100,5.7001902645183895,5.699773669052033,-0.0004165954663562,0.0130683567523251,-0.0318781828696383,0.6925422804041386,0.7505635478241096,0.1933479044956424,43,57,0.0917857583801108,0.089130209483062,0.9710679636588996,0.0420621291032727,,*
exp4,friedman1,reg,eOB,100,8.422583701139601,8.425512146385179,0.0029284452455803,0.075994962913517,0.0385347282676212,0.8960471686012128,0.7008068489075256,0.2712530240738354,44,56,0.1417365827398115,0.1569244063898017,1.1071552831062024,0.039400114119009,,*
exp4,friedman1,reg,eTS,100,8.162633268183406,8.158937951906019,-0.00369531627739,0.0388159207995737,-0.0952010464075,0.2157913619929484,0.3434102156617407,0.4841184136072914,46,54,0.1404645848611848,0.1494309158419359,1.063833392521055,0.0196626218230187,,*
exp4,twonorm,class,eTS,100,0.08046504,0.08073496,0.00026992,0.0010410264522784,0.2592825565663992,0.0125757460158547,0.0109603617874931,0.0265251068483944,61,38,0.0027944281427241,0.002567326550041,0.9187305662969332,0.0263051042455269,*,*
