dataset,type,metric,OOB_mean,SB_mean,mean_diff,sd_diff,cohens_dz,n_pos,n_neg,wilcox_p,sig_mean,sd_OOB,sd_SB,sd_ratio,PM_p_two,sig_var
breast-cancer,real,E1_B,0.005264673574543,0.005269665757997,4.992183454042955e-06,0.0003826350158571,0.0130468546974446,48,52,0.8851770022716838,,0.0003621471113956,0.0003434934027137,0.94849135035189,0.566563150919418,
breast-cancer,real,E2_B,0.005264673574543,0.005269665757997,4.992183454042955e-06,0.0003826350158571,0.0130468546974446,48,52,0.8851770022716838,,0.0003621471113956,0.0003434934027137,0.94849135035189,0.566563150919418,
diabetes,real,E1_B,0.0032659308680656,0.0033256103642959,5.967949623025701e-05,0.0004266899181605,0.139866197184899,55,45,0.137449456707082,,0.0003380153108236,0.0003170303508718,0.937917131917453,0.5220808333917937,
diabetes,real,E2_B,0.0032659308680656,0.0033256103642959,5.967949623025701e-05,0.0004266899181605,0.139866197184899,55,45,0.137449456707082,,0.0003380153108236,0.0003170303508718,0.937917131917453,0.5220808333917937,
dna,real,E1_B,0.0060811742861555,0.0060890340379046,7.859751749097997e-06,0.000131588861411,0.0597296128625106,52,48,0.6623526798628128,,0.0001534083686686,0.0001619445068668,1.0556432368865116,0.4805462586542535,
dna,real,E2_B,0.0065974883916731,0.0066027073423063,5.218950633165018e-06,0.0001432644179012,0.0364287986481269,52,48,0.7753522914731348,,0.0001588875302768,0.0001666657956697,1.0489545364530324,0.5502694983714345,
ringnorm,synthetic,E1_B,0.0386379321996597,0.0386546453125945,1.6713112934756345e-05,0.0012932027198015,0.0129238151751805,49,51,0.9780556767995896,,0.0010255657212097,0.0011233246834283,1.0953219868769108,0.3496779519664472,
ringnorm,synthetic,E2_B,0.0386379321996597,0.0386546453125945,1.6713112934756345e-05,0.0012932027198015,0.0129238151751805,49,51,0.9780556767995896,,0.0010255657212097,0.0011233246834283,1.0953219868769108,0.3496779519664472,
satellite,real,E1_B,0.0017086314301674,0.0017139770751581,5.345644990692011e-06,4.829407477801043e-05,0.1106894585984702,55,45,0.2107337949373173,,3.886714023003008e-05,3.800206881001688e-05,0.9777428590090912,0.8201514782697166,
satellite,real,E2_B,0.0022777405565211,0.002279412563306,1.672006784905959e-06,6.752593064461171e-05,0.0247609587745737,53,47,0.8044753358016482,,5.406675678204412e-05,5.0411471550918215e-05,0.9323931108747427,0.4835404152271914,
threenorm,synthetic,E1_B,0.0062496534486426,0.0062974932173672,4.783976872466197e-05,0.0010052535015275,0.0475897558695065,51,49,0.7180814247397251,,0.0006493439004072,0.0007165131369801,1.103441699430429,0.3298673946487978,
threenorm,synthetic,E2_B,0.0062496534486426,0.0062974932173672,4.783976872466197e-05,0.0010052535015275,0.0475897558695065,51,49,0.7180814247397251,,0.0006493439004072,0.0007165131369801,1.103441699430429,0.3298673946487978,
twonorm,synthetic,E1_B,0.0054436378009605,0.005511182620684,6.75448197234829e-05,0.0007467510274378,0.0904515926214778,53,47,0.3568045448109593,,0.0005612311878296,0.0005695228906949,1.0147741305992688,0.883912491041855,
twonorm,synthetic,E2_B,0.0054436378009605,0.005511182620684,6.75448197234829e-05,0.0007467510274378,0.0904515926214778,53,47,0.3568045448109593,,0.0005612311878296,0.0005695228906949,1.0147741305992688,0.883912491041855,
vehicle,real,E1_B,0.003220801356418,0.0032516275368843,3.0826180466290016e-05,0.000242251536463,0.1272486478986579,53,47,0.2328307124787141,,0.00020264354237,0.000159327681386,0.7862460334170471,0.017306489152234,*
vehicle,real,E2_B,0.0038298130450015,0.0038608723257151,3.105928071355505e-05,0.0003053451595293,0.1017185953149807,54,46,0.3356825574357155,,0.0002511139624082,0.0001971181019754,0.784974678767502,0.016938765961681,*
waveform,synthetic,E1_B,0.0225383841163321,0.0225127266145745,-2.5657501757556136e-05,0.000506913945207,-0.0506151034118333,51,49,0.6229452589763704,,0.0016546778522787,0.0016506423758886,0.997561170964808,0.936595069353972,
waveform,synthetic,E2_B,0.0250419956891921,0.0250173197493344,-2.4675939857737064e-05,0.0005590351488467,-0.044140229659336,51,49,0.7206533187202941,,0.0018427675542925,0.0018370920918138,0.9969201419541625,0.919212445139534,
