dataset,type,metric,n_runs,mean_diff,sd_diff,wilcox_p,t_p,ci_lo,ci_hi,cohens_dz,n_pos,n_neg,n_zero,sign_p,OOB,SB_OOB,exp,seed
Ozone,real,EB2,50,0.1355886816619673,1.243263101620478,0.4750153427207917,0.44431404152412135,-0.21774278237244066,0.4889201456963753,0.10905871933723445,27,23,0,0.6718110337653662,10.029479663627235,10.165068345289201,exp2,1
waveform,synthetic,R1,50,0.0,0.0,,,,,,0,0,50,,0.3422247287446754,0.3422247287446754,exp3,1
waveform,synthetic,R2,50,0.009437377894211719,0.09562452378254048,0.6780753001003559,0.4885644886933733,-0.017738811073062927,0.03661356686148636,0.09869202502564342,29,21,0,0.3222363203575473,-0.01958010940067739,-0.01014273150646567,exp3,1
waveform,synthetic,R3,50,0.009358978175700819,0.09501812408736118,0.6780753001003559,0.4894208336068536,-0.017644873905030306,0.036362830256431944,0.09849676854382039,29,21,0,0.3222363203575473,0.32272236894352097,0.33208134711922177,exp3,1
waveform,synthetic,R4,50,0.11767805889606166,0.6231169607088933,0.34908373173011176,0.18791645787815903,-0.059409821943462116,0.2947659397355854,0.18885388509114628,28,22,0,0.47988766169832847,41.72524048194519,41.842918540841254,exp3,1
twonorm,synthetic,R1,50,0.0,0.0,,,,,,0,0,50,,0.0,0.0,exp3,1
twonorm,synthetic,R2,50,0.00011394274444082446,0.024170054278562586,0.8018255165128876,0.9735432548456538,-0.006755110678687775,0.0069829961675694245,0.004714211359545227,27,23,0,0.6718110337653662,0.015096610099840372,0.015210552844281196,exp3,1
twonorm,synthetic,R3,50,0.00011232681047435788,0.02415546774605568,0.8018255165128876,0.9739025812416768,-0.006752581165983192,0.006977234786931908,0.004650160851995905,27,23,0,0.6718110337653662,0.015090187589061287,0.015202514399535646,exp3,1
twonorm,synthetic,R4,50,-0.08874479999999962,0.7819922383860332,0.6993995433003242,0.42615975391976424,-0.3109845351713775,0.13349493517137823,-0.11348552535912824,25,25,0,1.0,34.66047456,34.571729760000004,exp3,1
threenorm,synthetic,R1,50,0.0,0.0,,,,,,0,0,50,,0.0,0.0,exp3,1
threenorm,synthetic,R2,50,0.0021374222899138875,0.033924045427322545,0.2669442834760749,0.6579058751856613,-0.007503684746225475,0.011778529326053251,0.06300611448280871,29,21,0,0.3222363203575473,0.01590292072300863,0.018040343012922518,exp3,1
threenorm,synthetic,R3,50,0.0021399086952437183,0.0338922269142303,0.2669442834760749,0.6572336972529157,-0.007492155619528278,0.011771973010015715,0.06313862764636563,29,21,0,0.3222363203575473,0.015893221808978505,0.018033130504222224,exp3,1
threenorm,synthetic,R4,50,-0.04473568000000142,0.9019905999035388,0.4931024037429112,0.7273159418692122,-0.3010785721792942,0.21160721217929132,-0.049596614426786235,20,30,0,0.20263875106454096,62.73995552,62.69521984,exp3,1
ringnorm,synthetic,R1,50,0.0,0.0,,,,,,0,0,50,,0.0,0.0,exp3,1
ringnorm,synthetic,R2,50,-0.06470667062183229,0.266053797808628,0.06955213065466105,0.0917897142586309,-0.14031832335174108,0.010904982108076496,-0.24320897185003043,18,32,0,0.06490864707227226,0.6617584261487032,0.5970517555268708,exp3,1
ringnorm,synthetic,R3,50,-0.06384904115611771,0.2622996320479882,0.06955213065466105,0.09151605511149373,-0.13839377178184295,0.010695689469607524,-0.24342024675214344,18,32,0,0.06490864707227226,0.6569438732725232,0.5930948321164056,exp3,1
ringnorm,synthetic,R4,50,0.008496319999999996,1.3466322638423307,0.8848694295751556,0.9645966557069701,-0.37421233489308653,0.39120497489308653,0.006309309696588987,26,24,0,0.8877248273407867,43.12446704,43.13296336,exp3,1
twonorm,class,absdiff,50,-0.002635999999999998,0.014520509914023864,0.3039008536557159,0.20529978516782746,-0.006762683257760152,0.0014906832577601561,-0.18153632452357318,24,26,0,0.8877248273407867,0.021344,0.018708000000000002,exp4,1
