dataset,type,metric,OOB_mean,SB_mean,mean_diff,sd_diff,cohens_dz,n_pos,n_neg,wilcox_p,sig_mean,sd_OOB,sd_SB,sd_ratio,PM_p_two,sig_var
Boston,real,EB1,5.7001902645183895,5.699773669052033,-0.0004165954663562,0.0130683567523251,-0.0318781828696383,43,57,0.6925422804041386,,0.0917857583801108,0.089130209483062,0.9710679636588996,0.0420621291032727,*
Boston,real,EB2,5.7001902645183895,5.699773669052033,-0.0004165954663562,0.0130683567523251,-0.0318781828696383,43,57,0.6925422804041386,,0.0917857583801108,0.089130209483062,0.9710679636588996,0.0420621291032727,*
Ozone,real,EB1,8.327182748180725,8.33369159231736,0.0065088441366356,0.1632673932872248,0.0398661606925093,51,49,0.6425231921087418,,0.9305080701287618,0.9493465137087572,1.0202453306798172,0.2511902908235859,
Ozone,real,EB2,8.327182748180725,8.33369159231736,0.0065088441366356,0.1632673932872248,0.0398661606925093,51,49,0.6425231921087418,,0.9305080701287618,0.9493465137087572,1.0202453306798172,0.2511902908235859,
friedman1,synthetic,EB1,2.1125864002465264,2.114863747796134,0.0022773475496067,0.0100026726594242,0.2276739054797613,59,41,0.033026466113055,*,0.0286715659295606,0.0279685147088429,0.9754791481412288,0.4802162002079815,
friedman1,synthetic,EB2,2.1125864002465264,2.114863747796134,0.0022773475496067,0.0100026726594242,0.2276739054797613,59,41,0.033026466113055,*,0.0286715659295606,0.0279685147088429,0.9754791481412288,0.4802162002079815,
friedman2,synthetic,EB1,243.74596851114384,243.6755769762989,-0.0703915348449612,0.5636707437777588,-0.1248805896385406,43,57,0.2107337949373173,,1.8512741057112527,1.8588764497972508,1.00410654697894,0.8928123364860063,
friedman2,synthetic,EB2,243.74596851114384,243.6755769762989,-0.0703915348449612,0.5636707437777588,-0.1248805896385406,43,57,0.2107337949373173,,1.8512741057112527,1.8588764497972508,1.00410654697894,0.8928123364860063,
friedman3,synthetic,EB1,0.1546631324163571,0.1545847731180293,-7.835929832782251e-05,0.0008410055085455,-0.0931733472986872,46,54,0.3768854572946933,,0.0030948144661108,0.0031051101684158,1.0033267591378032,0.9028876175427348,
friedman3,synthetic,EB2,0.1546631324163571,0.1545847731180293,-7.835929832782251e-05,0.0008410055085455,-0.0931733472986872,46,54,0.3768854572946933,,0.0030948144661108,0.0031051101684158,1.0033267591378032,0.9028876175427348,
