dataset,type,metric,OOB_mean,SB_mean,mean_diff,sd_diff,cohens_dz,n_pos,n_neg,wilcox_p,sig_mean,sd_OOB,sd_SB,sd_ratio,PM_p_two,sig_var
ringnorm,synthetic,R1,0.0,0.0,0.0,0.0,,0,0,1.0,,0.0,0.0,,,
ringnorm,synthetic,R2,0.6145392914564828,0.6183286739552389,0.0037893824987561,0.0409974759218784,0.0924296536200638,56,44,0.2742237871152539,,0.03244175872942,0.0295541956812146,0.9109924011121237,0.353719578565137,
ringnorm,synthetic,R3,0.6102844420148635,0.6140152616554466,0.0037308196405831,0.040435936453062,0.0922649496423529,56,44,0.2757356210934105,,0.0320124069279875,0.0291575522035617,0.9108203662771172,0.3527046766020041,
ringnorm,synthetic,R4,43.40315958400001,43.40674295199999,0.003583368,0.2029071885477115,0.0176601333134012,54,46,0.7103849915044168,,0.4321979698009683,0.4255815697547619,0.9846912745812914,0.7402907648985977,
threenorm,synthetic,R1,0.0,0.0,0.0,0.0,,0,0,1.0,,0.0,0.0,,,
threenorm,synthetic,R2,0.0237820507607603,0.0244953113320539,0.0007132605712935,0.0077717029967372,0.0917766121007204,53,47,0.3640273589179928,,0.0053101837239072,0.0051400374593231,0.967958497590566,0.7464260485994281,
threenorm,synthetic,R3,0.0237651057896519,0.0244775536562112,0.0007124478665592,0.007760056612645,0.0918096222904294,53,47,0.3640273589179928,,0.0053027625383228,0.005131739307151,0.9677482765000704,0.7447935571488764,
threenorm,synthetic,R4,62.838161968,62.83754381279999,-0.0006181552,0.1306685676922492,-0.00473071076631,45,55,0.9725715413852294,,0.3622334234429849,0.3613567512402259,0.9975798141584332,0.9462984182733796,
twonorm,synthetic,R1,0.0,0.0,0.0,0.0,,0,0,1.0,,0.0,0.0,,,
twonorm,synthetic,R2,0.0192125423902675,0.0195017671175243,0.0002892247272568,0.0055291434808209,0.0523091376196058,52,48,0.6229452589763704,,0.0036630901225413,0.0039469434414965,1.0774901270401225,0.4606898625296667,
twonorm,synthetic,R3,0.0192015436015379,0.0194909408124238,0.0002893972108858,0.0055230467925753,0.0523981095497737,52,48,0.6253783479405848,,0.0036589672755309,0.0039428695507288,1.077590821075809,0.4601305666408641,
twonorm,synthetic,R4,34.1480207456,34.1563125072,0.0082917615999997,0.1073281672165483,0.0772561557235022,54,46,0.378744928929094,,0.2866378966435843,0.2846940352231927,0.9932184074640744,0.855509928098876,
waveform,synthetic,R1,0.3565500827070961,0.3565500827070961,0.0,0.0,,0,0,1.0,,0.0436440363528017,0.0436440363528017,1.0,,
waveform,synthetic,R2,0.0044379621002405,0.0009361022387565,-0.0035018598614839,0.0144719628622629,-0.2419754593632516,38,62,0.0138226088252153,*,0.0149327873637564,0.0133246710565127,0.8923097029328374,0.2005285949069524,
waveform,synthetic,R3,0.3609009534475348,0.3574376672310553,-0.0034632862164794,0.014373072316813,-0.2409565707415433,38,62,0.0139556757358696,*,0.0448932793937283,0.0448357561631875,0.9987186672188428,0.9680648472855922,
waveform,synthetic,R4,41.95073286718847,41.948956223966704,-0.0017766432217752,0.0836004370072577,-0.0212516020893642,48,52,0.9451754865571346,,0.241708884768561,0.2404741011212995,0.9948914428675476,0.8822684154138405,
