dataset,type,metric,OOB_mean,SB_mean,mean_diff,sd_diff,cohens_dz,n_pos,n_neg,wilcox_p,sig_mean,sd_OOB,sd_SB,sd_ratio,PM_p_two,sig_var
friedman1,reg,absdiff,1.1852595872769884,1.1872886317419324,0.0020290444649438,0.0618050841088651,0.0328297338997205,49,51,0.7413401306177619,,0.1259045018494994,0.1272988403556315,1.011074572280178,0.81829227141763,
friedman1,reg,eOB,8.422583701139601,8.425512146385179,0.0029284452455803,0.075994962913517,0.0385347282676212,44,56,0.8960471686012128,,0.1417365827398115,0.1569244063898017,1.1071552831062024,0.039400114119009,*
friedman1,reg,eTS,8.162633268183406,8.158937951906019,-0.00369531627739,0.0388159207995737,-0.0952010464075,46,54,0.2157913619929484,,0.1404645848611848,0.1494309158419359,1.063833392521055,0.0196626218230187,*
friedman1,reg,ratio,1.3086411591609748,1.3124514123373894,0.0038102531764145,0.0695800746689609,0.0547606939852028,51,49,0.6400619540504373,,0.1440938231296498,0.1488477854441575,1.032992131177131,0.486875726831999,
twonorm,class,absdiff,0.0224741599999999,0.02249212,1.796000000000207e-05,0.0023422242037443,0.0076679252017336,54,46,0.6048290453935774,,0.0024361123803505,0.002290068532696,0.9400504472484634,0.4781218246011809,
twonorm,class,eOB,0.091264,0.091743,0.000479,0.0025348199386173,0.1889680575344042,58,41,0.1110582937116122,,0.0028650284254764,0.0029891472044884,1.0433220061303146,0.5915187442223999,
twonorm,class,eTS,0.08046504,0.08073496,0.00026992,0.0010410264522784,0.2592825565663992,61,38,0.0125757460158547,*,0.0027944281427241,0.002567326550041,0.9187305662969332,0.0263051042455269,*
twonorm,class,ratio,1.4821619360436709,1.48293772317059,0.0007757871269189,0.156765863309244,0.0049486993567509,54,46,0.6253783479405848,,0.166492244941681,0.150480406031239,0.9038283199553792,0.2450477179743619,
