dataset,type,metric,OOB_mean,SB_mean,mean_diff,sd_diff,cohens_dz,n_pos,n_neg,wilcox_p,sig_mean,sd_OOB,sd_SB,sd_ratio,PM_p_two,sig_var
Boston,reg,mse_oob_outputs,19.234856232420352,19.445677700053025,0.2108214676326751,0.6158431383452002,0.342329815022641,60,40,0.0005218751483653,***,1.1805150572758425,1.267425269894328,1.0736205879652565,0.148017446063585,
Boston,reg,mse_original,21.04149788235294,21.04149788235294,0.0,0.0,,0,0,1.0,,1.4975366284016856,1.4975366284016856,1.0,,
Ozone,reg,mse_oob_outputs,5907.527036684187,5884.395485603122,-23.13155108106449,125.04132013873304,-0.1849912577330445,45,55,0.111397197415053,,231.186995930174,226.11589372409364,0.978064933169459,0.67706001710123,
Ozone,reg,mse_original,9434.15827842916,9434.15827842916,0.0,0.0,,0,0,1.0,,324.27058292937863,324.27058292937863,1.0,,
friedman1,reg,mse_oob_outputs,10.833599943246536,10.826818980620324,-0.0067809626262133,0.1032314191541077,-0.0656870038383417,53,47,0.7543660885045383,,0.1171996162937626,0.1185147764396304,1.0112215396897832,0.8887113615201261,
friedman1,reg,mse_original,13.317666933214754,13.317666933214754,0.0,0.0,,0,0,1.0,,0.1599987362499506,0.1599987362499506,1.0,,
friedman2,reg,mse_oob_outputs,26957.993420973115,26980.344352697204,22.35093172409772,236.00986294917865,0.094703379955399,60,40,0.2990959214526674,,281.2974481960194,285.31158272129403,1.0142700708841037,0.8534300444400453,
friedman2,reg,mse_original,38228.7734349774,38228.7734349774,0.0,0.0,,0,0,1.0,,484.4126413247189,484.4126413247189,1.0,,
friedman3,reg,mse_oob_outputs,0.0406127110466557,0.0406572983063775,4.458725972182491e-05,0.0005034017807657,0.0885719149701834,56,44,0.4371225373859976,,0.0006830915374889,0.0007737918544021,1.13277915467464,0.0562057489828269,
friedman3,reg,mse_original,0.0436373750860867,0.0436373750860867,0.0,0.0,,0,0,1.0,,0.0007824703529565,0.0007824703529565,1.0,,
