exp,dataset,type,metric,n,OOB_mean,SB_mean,mean_diff,sd_diff,cohens_dz,wilcox_p,t_p,sign_p,n_pos,n_neg,sd_OOB,sd_SB,sd_ratio,PM_p_two,sig_mean,sig_var
exp2,friedman1,synthetic,EB1,100,2.1125864002465264,2.114863747796134,0.0022773475496067,0.0100026726594242,0.2276739054797613,0.033026466113055,0.0249543304779759,0.0886260801140675,59,41,0.0286715659295606,0.0279685147088429,0.9754791481412288,0.4802162002079815,*,
exp2,friedman1,synthetic,EB2,100,2.1125864002465264,2.114863747796134,0.0022773475496067,0.0100026726594242,0.2276739054797613,0.033026466113055,0.0249543304779759,0.0886260801140675,59,41,0.0286715659295606,0.0279685147088429,0.9754791481412288,0.4802162002079815,*,
exp3,waveform,synthetic,R2,100,0.0044379621002405,0.0009361022387565,-0.0035018598614839,0.0144719628622629,-0.2419754593632516,0.0138226088252153,0.0173553181776503,0.0209787356778517,38,62,0.0149327873637564,0.0133246710565127,0.8923097029328374,0.2005285949069524,*,
exp3,waveform,synthetic,R3,100,0.3609009534475348,0.3574376672310553,-0.0034632862164794,0.014373072316813,-0.2409565707415433,0.0139556757358696,0.017819125933628,0.0209787356778517,38,62,0.0448932793937283,0.0448357561631875,0.9987186672188428,0.9680648472855922,*,
exp4,twonorm,class,eTS,100,0.08046504,0.08073496,0.00026992,0.0010410264522784,0.2592825565663992,0.0125757460158547,0.0109603617874931,0.0265251068483944,61,38,0.0027944281427241,0.002567326550041,0.9187305662969332,0.0263051042455269,*,*
exp5,Boston,reg,mse_oob_outputs,100,19.234856232420352,19.445677700053025,0.2108214676326751,0.6158431383452002,0.342329815022641,0.0005218751483653,0.0009011537950402,0.0568879336409808,60,40,1.1805150572758425,1.267425269894328,1.0736205879652565,0.148017446063585,***,
